nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,7977,5,0.041684627532958984,0.5034952163696289,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.2381231784820557,34.817735132101035
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,3199,5,0.041684627532958984,0.4720025062561035,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.430572509765625,38.517990269246766
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,316,5,0.041684627532958984,0.465259313583374,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4135310649871826,36.80020034985591
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,8266,5,0.041684627532958984,0.4787936210632324,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4211933612823486,37.183143669824524
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,1532,5,0.041684627532958984,0.5133383274078369,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.234285593032837,35.23747555981692
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,1009,5,0.041684627532958984,0.4659733772277832,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.45001220703125,38.25890891684011
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,2250,5,0.041684627532958984,0.5145184993743896,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.235893726348877,35.25804294017913
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,4447,5,0.041684627532958984,0.46402668952941895,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.456785202026367,35.78082166399544
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,2415,5,0.041684627532958984,0.47821831703186035,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.40161395072937,36.137546423342876
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,3595,5,0.041684627532958984,0.5135636329650879,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.230236291885376,35.42496406256019
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,4187,5,0.041684627532958984,0.46671152114868164,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.441877841949463,38.19222182222482
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,4135,5,0.041684627532958984,0.4730994701385498,True,v2,original_ranking,6,"[(1, 2), (2, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4008586406707764,36.76431245722695
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,5174,5,0.041684627532958984,0.47470927238464355,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.394558906555176,36.38137252566513
6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0,earthquake,5303,5,0.041684627532958984,0.466381311416626,True,v2,original_ranking,6,"[(1, 2), (1, 4), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.4079809188842773,37.10540263344673
5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,earthquake,3942,5,0.041684627532958984,0.4675023555755615,True,v2,original_ranking,5,"[(1, 2), (0, 4), (0, 3), (0, 2), (0, 1)]",0,2.408451795578003,36.60547404430441
