n_nodes,n_edges,seed,elapsed_time
7,7,2250,0.010392904281616211
7,7,4447,0.010770559310913086
7,7,2415,0.012067317962646484
7,7,3595,0.006441831588745117
7,7,4187,0.007616281509399414
7,7,4135,0.009415864944458008
7,7,5174,0.008150577545166016
7,7,5303,0.015727519989013672
7,7,3942,0.015578031539916992
7,7,2778,0.015115499496459961
7,7,2804,0.013982534408569336
7,7,2145,0.011948108673095703
7,7,150,0.010895490646362305
7,7,8823,0.012825965881347656
7,7,4669,0.01514744758605957
7,7,6131,0.014033317565917969
7,7,2617,0.006878376007080078
7,7,7166,0.007180452346801758
7,7,1428,0.010642051696777344
7,7,8328,0.019193172454833984
7,7,8289,0.02295064926147461
7,7,5978,0.013602256774902344
7,7,5511,0.018930912017822266
7,7,5864,0.015065431594848633
7,7,606,0.01362919807434082
7,7,1933,0.015621185302734375
7,7,6071,0.013823509216308594
7,7,5504,0.022705078125
7,7,5163,0.02508711814880371
7,7,2406,0.015885114669799805
7,7,304,0.01641702651977539
7,7,3391,0.006473541259765625
7,7,359,0.010703563690185547
7,7,9096,0.014994621276855469
7,7,3533,0.02053546905517578
7,7,4125,0.006168842315673828
7,7,3094,0.02312445640563965
7,7,6398,0.014748096466064453
8,8,7816,0.025160789489746094
8,8,3578,0.022752761840820312
8,8,2656,0.023183345794677734
8,8,2688,0.016798734664916992
8,8,2494,0.04154610633850098
8,8,183,0.028491973876953125
8,8,7977,0.012604475021362305
8,8,3199,0.019326210021972656
8,8,316,0.013037919998168945
8,8,8266,0.020714759826660156
8,8,1532,0.019550085067749023
8,8,1009,0.025415420532226562
8,8,2250,0.021023273468017578
8,8,4447,0.02291727066040039
8,8,2415,0.016466617584228516
8,8,3595,0.022669315338134766
8,8,4187,0.012978076934814453
8,8,4135,0.022328853607177734
8,8,5174,0.016161680221557617
8,8,5303,0.020430326461791992
8,8,3942,0.016314029693603516
8,8,2778,0.023425579071044922
8,8,2804,0.02969837188720703
8,8,2145,0.01088714599609375
8,8,150,0.023886680603027344
8,8,8823,0.012587547302246094
8,8,4669,0.024901151657104492
8,8,6131,0.030435562133789062
8,8,2617,0.03341174125671387
8,8,7166,0.020979881286621094
8,8,1428,0.007991790771484375
8,8,8328,0.013373136520385742
8,8,8289,0.02500629425048828
8,8,5978,0.024318456649780273
8,8,5511,0.009418725967407227
8,8,5864,0.02243947982788086
8,8,606,0.019922971725463867
8,8,1933,0.03273773193359375
8,8,6071,0.02033233642578125
8,8,5504,0.008432388305664062
8,8,5163,0.015326499938964844
8,8,2406,0.013730525970458984
8,8,304,0.010741472244262695
8,8,3391,0.02724170684814453
8,8,359,0.02468085289001465
8,8,9096,0.014029264450073242
8,8,3533,0.011753559112548828
8,8,4125,0.017846345901489258
8,8,3094,0.020593643188476562
8,8,6398,0.010013341903686523
10,10,7816,0.027963876724243164
10,10,3578,0.031037092208862305
10,10,2656,0.03282976150512695
10,10,2688,0.044945716857910156
10,10,2494,0.02474212646484375
10,10,183,0.025393247604370117
10,10,7977,0.041434526443481445
10,10,3199,0.03610682487487793
10,10,316,0.03954577445983887
10,10,8266,0.030058622360229492
10,10,1532,0.04357337951660156
10,10,1009,0.01967477798461914
10,10,2250,0.033736467361450195
10,10,4447,0.029558658599853516
10,10,2415,0.03217768669128418
10,10,3595,0.016742229461669922
10,10,4187,0.030817508697509766
10,10,4135,0.03383469581604004
10,10,5174,0.017121076583862305
10,10,5303,0.025754928588867188
10,10,3942,0.06061077117919922
