nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
8,0.75,0.5,1.0,0.25,0.5,0.3333,7.0,4.0,19.0,earthquake,2656,5,0.11512136459350586,0.9402461051940918,True,v2,original_ranking,8,"[(4, 3), (1, 3), (4, 1), (4, 0), (3, 0), (2, 4), (2, 1), (2, 0)]",0,1.3378534317016602,33.4023944126419
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,11.0,16.0,earthquake,2688,5,0.11512136459350586,0.9915003776550293,True,v2,original_ranking,8,"[(2, 0), (1, 0), (4, 0), (3, 0), (4, 2), (1, 3), (2, 3), (4, 1)]",0,1.5988819599151611,30.286482140711197
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,2494,5,0.11512136459350586,0.9816977977752686,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (3, 2), (1, 2), (1, 0), (4, 3), (1, 3), (4, 1)]",0,1.7113409042358398,31.829542488695758
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,5.0,12.0,earthquake,183,5,0.11512136459350586,0.9681391716003418,True,v2,original_ranking,8,"[(4, 0), (2, 0), (2, 1), (4, 3), (2, 3), (3, 1), (3, 0), (1, 0)]",0,1.3053662776947021,30.390411009375697
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,3.0,12.0,earthquake,7977,5,0.11512136459350586,0.9986529350280762,True,v2,original_ranking,8,"[(3, 0), (1, 0), (2, 0), (4, 0), (2, 3), (1, 3), (1, 4), (3, 4)]",0,1.5628416538238525,31.682264867691213
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,6.0,6.0,earthquake,3199,5,0.11512136459350586,1.0021121501922607,True,v2,original_ranking,8,"[(3, 0), (2, 0), (1, 3), (4, 0), (1, 0), (2, 3), (2, 4), (1, 4)]",0,1.7049720287322998,34.47515904245044
7,0.7143,0.5,0.8333,0.0,0.0,,7.0,13.0,19.0,earthquake,316,5,0.11512136459350586,0.9889736175537109,True,v2,original_ranking,7,"[(2, 1), (3, 0), (2, 0), (4, 2), (4, 0), (3, 2), (0, 1)]",0,1.2935280799865723,29.61250820273267
8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,3.0,12.0,earthquake,8266,5,0.11512136459350586,1.002912998199463,True,v2,original_ranking,8,"[(3, 0), (2, 0), (1, 3), (1, 0), (4, 3), (4, 0), (2, 4), (1, 4)]",0,1.701073169708252,32.54162011667441
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,1532,5,0.11512136459350586,0.9964034557342529,True,v2,original_ranking,9,"[(2, 0), (1, 0), (3, 0), (4, 0), (1, 2), (3, 4), (3, 2), (1, 4), (1, 3)]",0,1.5920641422271729,29.84375457383348
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,1009,5,0.11512136459350586,0.9896576404571533,True,v2,original_ranking,9,"[(3, 0), (2, 0), (1, 3), (1, 0), (4, 3), (4, 0), (4, 2), (1, 2), (1, 4)]",0,1.7280089855194092,33.43406768977655
8,0.75,0.5,1.0,0.25,0.5,0.3333,6.0,11.0,16.0,earthquake,2250,5,0.11512136459350586,0.9937655925750732,True,v2,original_ranking,8,"[(3, 0), (2, 0), (1, 0), (4, 0), (1, 4), (2, 4), (3, 2), (3, 1)]",0,1.581160545349121,29.8939989337642
7,0.4286,1.0,0.5,0.5714,1.0,0.7273,3.0,0.0,12.0,earthquake,4447,5,0.11512136459350586,0.980311393737793,True,v2,original_ranking,7,"[(3, 0), (2, 0), (2, 3), (1, 4), (1, 3), (1, 0), (0, 4)]",0,1.2628552913665771,36.471539205311146
6,0.3333,1.0,0.3333,0.6667,1.0,0.8,2.0,0.0,5.0,earthquake,2415,5,0.11512136459350586,0.992358922958374,True,v2,original_ranking,6,"[(3, 0), (1, 0), (2, 3), (2, 0), (1, 3), (0, 4)]",0,1.2509198188781738,35.22432033518493
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,3595,5,0.11512136459350586,0.9897785186767578,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (1, 0), (4, 3), (2, 3), (2, 1), (3, 1), (2, 4)]",0,1.604311466217041,30.06388383183003
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,4187,5,0.11512136459350586,0.9801535606384277,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (4, 3), (1, 3), (1, 0), (3, 2), (1, 2), (4, 1)]",0,1.734126091003418,32.94031291378637
7,0.5714,0.75,0.6667,0.2857,0.5,0.3636,5.0,5.0,13.0,earthquake,4135,5,0.11512136459350586,0.9639997482299805,True,v2,original_ranking,7,"[(3, 0), (1, 0), (1, 2), (4, 3), (4, 0), (1, 3), (0, 2)]",0,1.2814052104949951,29.008478642615312
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,5174,5,0.11512136459350586,0.9725563526153564,True,v2,original_ranking,9,"[(3, 0), (2, 0), (4, 0), (3, 2), (1, 2), (1, 0), (3, 4), (1, 4), (1, 3)]",0,1.701869010925293,31.320046927309342
9,0.6667,0.75,1.0,0.2222,0.5,0.3077,7.0,3.0,19.0,earthquake,5303,5,0.11512136459350586,0.9699649810791016,True,v2,original_ranking,9,"[(3, 0), (2, 0), (1, 2), (1, 0), (4, 3), (4, 2), (4, 0), (1, 3), (1, 4)]",0,1.709517478942871,31.453108321419357
