nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5864,5,12.206302881240845,0.9129705429077148,True,stand_alone_gradual,refined_ranking,0,[],0,0.5600697994232178,4.719103108539666
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,606,5,12.206302881240845,0.9290890693664551,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.319643497467041,21.022691183002845
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,606,5,12.206302881240845,0.9290890693664551,True,stand_alone_gradual,refined_ranking,0,[],0,0.5578136444091797,4.503447187493417
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,1933,5,12.206302881240845,0.9279727935791016,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (2, 0), (1, 0), (3, 0)]",0,1.3264987468719482,20.236942297771723
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,1933,5,12.206302881240845,0.9279727935791016,True,stand_alone_gradual,refined_ranking,0,[],0,0.5496790409088135,4.387352301410063
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,6071,5,12.206302881240845,0.9222981929779053,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (3, 0), (2, 0)]",0,0.9760992527008057,14.818570200530715
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,6071,5,12.206302881240845,0.9222981929779053,True,stand_alone_gradual,refined_ranking,0,[],0,0.5127453804016113,3.7519215868649196
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,5504,5,12.206302881240845,0.9234898090362549,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (3, 0), (1, 0)]",0,0.6159563064575195,12.435616998702187
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5504,5,12.206302881240845,0.9234898090362549,True,stand_alone_gradual,refined_ranking,0,[],0,0.3838822841644287,3.7835709677774174
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,5163,5,12.206302881240845,0.9221107959747314,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (1, 0), (3, 0)]",0,0.8158929347991943,12.651817348002478
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,5163,5,12.206302881240845,0.9221107959747314,True,stand_alone_gradual,refined_ranking,0,[],0,0.5084762573242188,3.752891993313709
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,cancer,2406,5,12.206302881240845,0.9174919128417969,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (3, 0), (1, 0), (3, 1)]",0,0.8248181343078613,11.913222303336111
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,2406,5,12.206302881240845,0.9174919128417969,True,stand_alone_gradual,refined_ranking,0,[],0,0.49394750595092773,3.2794728693764315
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,304,5,12.206302881240845,0.9265875816345215,True,stand_alone_gradual,original_ranking,4,"[(2, 0), (1, 0), (4, 0), (3, 0)]",0,1.3305141925811768,20.12943993528017
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,304,5,12.206302881240845,0.9265875816345215,True,stand_alone_gradual,refined_ranking,0,[],0,0.5538802146911621,4.388258392572048
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,3391,5,12.206302881240845,0.9224715232849121,True,stand_alone_gradual,original_ranking,4,"[(4, 0), (1, 0), (2, 0), (3, 0)]",0,1.3247735500335693,20.365929679124925
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,3391,5,12.206302881240845,0.9224715232849121,True,stand_alone_gradual,refined_ranking,0,[],0,0.5512497425079346,4.220294361604916
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,359,5,12.206302881240845,0.9194824695587158,True,stand_alone_gradual,original_ranking,3,"[(4, 0), (1, 0), (3, 0)]",0,0.5687165260314941,11.69511599803408
0,0.0,0.0,0.0,,0.0,,4.0,10.0,cancer,359,5,12.206302881240845,0.9194824695587158,True,stand_alone_gradual,refined_ranking,0,[],0,0.3569169044494629,3.6425760751296945
