dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
sachs,Random,8328,0.00020599365234375,17,0.6471,0.3529,0.2895,0.0588,0.0588,0.0588,22.0,35.0,55.0
sachs,Random,8289,0.0002040863037109375,17,0.7059,0.2941,0.3158,0.1176,0.1176,0.1176,26.0,44.0,52.0
sachs,Random,5978,0.00021123886108398438,17,0.6471,0.3529,0.2895,0.2941,0.2941,0.2941,27.0,36.0,37.0
sachs,Random,5511,0.0002105236053466797,17,0.7647,0.2353,0.3421,0.0588,0.0588,0.0588,24.0,48.0,59.0
sachs,Random,5864,0.00021386146545410156,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,27.0,35.0,55.0
sachs,Random,606,0.0002079010009765625,17,0.9412,0.0588,0.4211,0.0588,0.0588,0.0588,28.0,49.0,53.0
sachs,Random,1933,0.00021123886108398438,17,0.7647,0.2353,0.3421,0.1765,0.1765,0.1765,25.0,43.0,52.0
sachs,Random,6071,0.00023174285888671875,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,29.0,45.0,54.0
sachs,Random,5504,0.00020694732666015625,17,0.8824,0.1176,0.3947,0.0,0.0,,29.0,53.0,55.0
sachs,Random,5163,0.0002551078796386719,17,0.9412,0.0588,0.4211,0.0588,0.0588,0.0588,31.0,55.0,55.0
sachs,Random,2406,0.0002086162567138672,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,29.0,40.0,44.0
sachs,Random,304,0.0002067089080810547,17,0.8235,0.1765,0.3684,0.0588,0.0588,0.0588,25.0,49.0,56.0
sachs,Random,3391,0.00023293495178222656,17,0.7647,0.2353,0.3421,0.0588,0.0588,0.0588,26.0,49.0,57.0
sachs,Random,359,0.0002224445343017578,17,0.5882,0.4118,0.2632,0.2941,0.2941,0.2941,25.0,30.0,45.0
sachs,Random,9096,0.00025272369384765625,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,27.0,43.0,54.0
sachs,Random,3533,0.00021767616271972656,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,27.0,44.0,55.0
sachs,Random,4125,0.00021195411682128906,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,31.0,43.0,51.0
sachs,Random,3094,0.00020885467529296875,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,29.0,50.0,51.0
sachs,Random,6398,0.00020551681518554688,17,0.8824,0.1176,0.3947,0.0,0.0,,28.0,48.0,57.0
sachs,MPC,7816,0.05016016960144043,13,0.0769,0.7059,0.0263,0.0769,0.0588,0.0667,6.0,29.0,62.0
sachs,MPC,3578,0.05314016342163086,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0
sachs,MPC,2656,0.05172133445739746,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0
sachs,MPC,2688,0.057433366775512695,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,29.0,62.0
sachs,MPC,2494,0.052274227142333984,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,25.0,62.0
sachs,MPC,183,0.03470611572265625,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,29.0,62.0
sachs,MPC,7977,0.05652666091918945,15,0.2,0.7059,0.0789,0.0667,0.0588,0.0625,8.0,24.0,62.0
sachs,MPC,3199,0.05150604248046875,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,26.0,62.0
sachs,MPC,316,0.05905032157897949,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,26.0,62.0
sachs,MPC,8266,0.05325889587402344,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,27.0,62.0
sachs,MPC,1532,0.049100399017333984,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0
sachs,MPC,1009,0.059038639068603516,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,31.0,62.0
sachs,MPC,2250,0.05224871635437012,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0
sachs,MPC,4447,0.06007981300354004,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,26.0,62.0
sachs,MPC,2415,0.0616002082824707,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,28.0,62.0
sachs,MPC,3595,0.05083608627319336,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0
sachs,MPC,4187,0.04997062683105469,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0
sachs,MPC,4135,0.06183934211730957,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,27.0,62.0
sachs,MPC,5174,0.04595613479614258,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0
sachs,MPC,5303,0.05222463607788086,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,27.0,62.0
sachs,MPC,3942,0.04878592491149902,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0
